Frame,root_translateX,root_translateY,root_translateZ,root_quatW,root_quatX,root_quatY,root_quatZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_pitch_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_pitch_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,head_yaw_joint_dof,head_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0104952985,0.0317266025,0.611594498,0.6589953641,0.0193872854,0.0190713622,-0.7516551911,-0.226172909,0.0563638844,0.233861044,0.461005449,-0.314979315,-0.0151982633,-0.290319979,-0.0326861963,-0.00672268635,0.484877884,-0.286566883,0.00932880025,-0.000778308196,0,-0.174267486,0.0798646584,0.129428074,-0.0538496114,-0.541401744,-0.178748146,0.0365269184,-0.165129662,0.437016219,-0.600197375,0.200872079
1,0.010513507,0.03180897684,0.6116081478,0.658987297,0.01936280523,0.01905549073,-0.7516632972,-0.2260693964,0.05631783382,0.2340040204,0.4605194388,-0.3146510066,-0.01508469902,-0.290130115,-0.03270292432,-0.006837971228,0.4842791258,-0.286064875,0.009615561182,-0.0008060944496,0,-0.1742677538,0.07986355572,0.1296146512,-0.05385422484,-0.5413928388,-0.1787543386,0.0365242355,-0.1652437062,0.4370144426,-0.6001872418,0.2008708298
2,0.0105212696,0.03199786394,0.6116448876,0.6589464683,0.01931649503,0.01903500875,-0.7517008004,-0.2260500846,0.05631470608,0.23419219,0.4600630522,-0.3142241712,-0.014984886,-0.2900945006,-0.0326361433,-0.006799013542,0.4837537584,-0.2854637984,0.009709987046,-0.0009989280046,0,-0.174268922,0.07987774164,0.1304195258,-0.05389312508,-0.5413377168,-0.1787885964,0.03652326538,-0.1657348482,0.4370025334,-0.600136745,0.2008584024
3,0.01054502336,0.03221194592,0.6116650104,0.6588786138,0.01944286274,0.01924377432,-0.7517517041,-0.226925969,0.0564889893,0.234193626,0.460011256,-0.3138911366,-0.01495564596,-0.2908553956,-0.0323016942,-0.006455797984,0.4833752812,-0.2848190424,0.009480635266,-0.001807954812,0,-0.1742735804,0.08002320532,0.1334905712,-0.05412322882,-0.5410405038,-0.1789601062,0.03654485494,-0.1676379142,0.4369511962,-0.59992224,0.2007989288
4,0.01053340246,0.03242765368,0.6116728308,0.6588623438,0.01974959573,0.01963517196,-0.751747847,-0.2285857948,0.05676271766,0.2337886422,0.4605957744,-0.3141266466,-0.01443545872,-0.2919940828,-0.03188567088,-0.00622587688,0.4829498412,-0.2843722282,0.009421466476,-0.002664198912,0,-0.1742797404,0.08028306518,0.137218627,-0.05446491316,-0.5405838488,-0.1791988698,0.0365572743,-0.1700318278,0.4368654488,-0.5996534586,0.200718975
5,0.0105153723,0.0325930305,0.611670971,0.6588788485,0.02009148481,0.02007652401,-0.7517126635,-0.230425507,0.0570715442,0.233195975,0.461385041,-0.314558178,-0.0137556512,-0.293106049,-0.0314516909,-0.00613031583,0.482418895,-0.283990741,0.00944980979,-0.00334300729,0,-0.174285784,0.0805833042,0.140556306,-0.0548011139,-0.540086627,-0.179423034,0.0365225971,-0.172274381,0.436734587,-0.599419892,0.200642467
6,0.01050801576,0.0327246085,0.6116570952,0.6589286228,0.02033306816,0.02042267774,-0.7516532117,-0.2317341416,0.05725159202,0.2327092916,0.461595464,-0.3143635926,-0.01390836298,-0.29401806,-0.03112047912,-0.006026883984,0.4821005168,-0.2835964026,0.009335119836,-0.003749128154,0,-0.1742902726,0.08083325024,0.1428327318,-0.05505914912,-0.5396864296,-0.1795938254,0.03645734716,-0.1738536476,0.436603093,-0.5992757562,0.2005859076
7,0.01049768512,0.03284212202,0.6116558912,0.6589765256,0.02051781958,0.02067254314,-0.7515993639,-0.2327757952,0.05737408326,0.2322934362,0.4618335902,-0.3141789612,-0.01370297878,-0.294817752,-0.0308745734,-0.005959523376,0.4820806744,-0.2833603438,0.009116427786,-0.004013521038,0,-0.1742935328,0.08102660034,0.1444064168,-0.0552571863,-0.5393804908,-0.1797257934,0.03638774084,-0.174961823,0.4364981652,-0.5991884114,0.200546512
8,0.01047057884,0.03293771148,0.6116499304,0.6590100308,0.02073113701,0.02092836727,-0.7515570522,-0.233997992,0.05754298266,0.2318146974,0.4624789174,-0.3142975748,-0.01271477156,-0.2957738696,-0.03062341922,-0.005913769732,0.4823462068,-0.2832985404,0.008781928572,-0.00430127047,0,-0.1742968914,0.08122728018,0.1459614068,-0.05547143372,-0.5390597102,-0.1798659294,0.03629655764,-0.1760693312,0.4364109756,-0.5991150502,0.2005155624
9,0.01044183932,0.03300044242,0.6116104484,0.659045749,0.02090124092,0.02114562142,-0.7515149377,-0.23502267,0.05765622034,0.2313957988,0.463058728,-0.3147236888,-0.0125234751,-0.2965380668,-0.0304423299,-0.00587237533,0.482570726,-0.2833414794,0.008852573668,-0.0044655662,0,-0.1742997292,0.08138876704,0.1472162874,-0.05565963086,-0.5387939214,-0.1799849894,0.03621064278,-0.1769671234,0.436371976,-0.5990656138,0.2004971742
