Frame,root_translateX,root_translateY,root_translateZ,root_quatW,root_quatX,root_quatY,root_quatZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_pitch_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_pitch_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,head_yaw_joint_dof,head_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.000617184909,0.0181660317,0.612475812,0.6887612378,0.008565242448,0.01917970379,-0.7246838848,-0.288859725,0.0627941489,0.0654986799,0.536241531,-0.340992838,-0.0486386009,-0.266285539,-0.00920485146,0.0635453016,0.452216208,-0.238701373,0.0759145394,-0.0179482996,0,-0.174267486,-0.0156764612,0.199189916,-0.60117197,-0.474796325,-0.366690844,-0.09701702,-0.238603219,1.00877011,-0.422954589,-0.0531981923
1,0.0005682916962,0.01803900862,0.612479901,0.6887630702,0.008582129513,0.01916505062,-0.7246823312,-0.2886537256,0.06284339428,0.06558074206,0.5360590934,-0.341080636,-0.0490074225,-0.266170317,-0.0091939291,0.06358227132,0.4521636484,-0.2384148152,0.0765329525,-0.01796767788,0,-0.174268049,-0.01568953244,0.1993387786,-0.601171315,-0.4748133126,-0.3666986408,-0.09702934918,-0.2386804996,1.008776358,-0.4230197848,-0.05321440992
2,0.0005829720872,0.01804342978,0.6124845502,0.6887612658,0.008580541455,0.01915825229,-0.7246842446,-0.288652557,0.06290338486,0.06556071788,0.5361438872,-0.341221136,-0.04928862456,-0.2660796466,-0.009170241654,0.06346210538,0.4520079376,-0.2385785308,0.0766307637,-0.01797716802,0,-0.1742681532,-0.01569213684,0.1993666586,-0.601171315,-0.474816614,-0.36670019,-0.09703173938,-0.2386949684,1.008777118,-0.4230320576,-0.0532173805
3,0.0005935466154,0.01812018562,0.6124154328,0.6887357347,0.008538206659,0.01908732132,-0.7247108809,-0.2887184198,0.06287109104,0.0655343652,0.5364678502,-0.3413721976,-0.04936287328,-0.265857828,-0.009271942638,0.06312023994,0.4515906214,-0.2393576082,0.07601200192,-0.0180519085,0,-0.1742688416,-0.0157090869,0.1995466228,-0.6011713384,-0.4748381438,-0.3667108002,-0.09704692812,-0.2387886016,1.008785556,-0.423111278,-0.05323652628
4,0.0005143938704,0.01812967064,0.6124409918,0.688713008,0.008532193532,0.01906119288,-0.7247332372,-0.2884519278,0.0628856793,0.06570812312,0.536137247,-0.341135907,-0.04962882846,-0.2661819284,-0.00924916435,0.0632964104,0.4525339186,-0.2394657016,0.07559946478,-0.01811748892,0,-0.1742694348,-0.0157238271,0.1997036636,-0.6011705994,-0.4748571218,-0.36672014,-0.09706014394,-0.2388706688,1.008795162,-0.4231806874,-0.05325316116
5,0.000502795971,0.0179954506,0.612487793,0.6887066157,0.008554581297,0.01908817459,-0.7247383377,-0.287956536,0.0629346296,0.0659453869,0.535375476,-0.340730071,-0.0499974787,-0.266485006,-0.00916670263,0.0636417642,0.4535864,-0.239057943,0.0755783394,-0.0181993898,0,-0.174270272,-0.0157443844,0.19992055,-0.601166725,-0.474884182,-0.36673221,-0.0970792919,-0.238984346,1.00880873,-0.423277736,-0.0532757007
6,0.0004794529756,0.01794443314,0.612432861,0.6887190603,0.00855541307,0.01906615078,-0.7247270815,-0.2879314182,0.06294368358,0.0658037797,0.5355662228,-0.3408574696,-0.0503337905,-0.266001308,-0.009218637456,0.06354709268,0.4527543904,-0.2388465168,0.07675666216,-0.01822270642,0,-0.1742708264,-0.01575816796,0.200066471,-0.6011643888,-0.4749025824,-0.3667400004,-0.09709202348,-0.239061114,1.008816458,-0.4233432646,-0.05329044832
7,0.0005309542872,0.0180028882,0.61241225,0.6887471653,0.00848897016,0.01899046715,-0.7247031405,-0.2880055964,0.06292103082,0.0656435996,0.5361344098,-0.341265768,-0.05010456744,-0.2656565726,-0.009296269342,0.06334811302,0.4523605284,-0.2390347776,0.07697817836,-0.01824873832,0,-0.1742722008,-0.01579043866,0.200416896,-0.6011598942,-0.4749467912,-0.3667582032,-0.09712145034,-0.2392466096,1.008835434,-0.4235009612,-0.05332450644
8,0.0005463837874,0.01802321186,0.6123968006,0.6887518968,0.008450840975,0.01896093483,-0.7246998626,-0.2882441342,0.06286408154,0.06563943774,0.5366258976,-0.3417485238,-0.04903618396,-0.2659511926,-0.009315188978,0.06325842294,0.4528610824,-0.2395452498,0.07538834516,-0.01826200858,0,-0.1742726448,-0.01580070068,0.2005316052,-0.6011582974,-0.4749612032,-0.3667638364,-0.09713092146,-0.2393077524,1.008843994,-0.423552799,-0.05333446864
9,0.0005396734804,0.01798849928,0.612422037,0.6887539879,0.008435789818,0.01895488106,-0.7246982089,-0.288163602,0.06284337492,0.06564902812,0.5365104914,-0.3415466846,-0.0492386803,-0.2660486518,-0.009335021298,0.0632800028,0.453237796,-0.2392734706,0.07508230804,-0.01826669982,0,-0.174272922,-0.01580698342,0.2006040184,-0.6011567352,-0.4749702814,-0.3667671676,-0.09713690284,-0.2393464384,1.008851126,-0.4235857546,-0.05334021898
10,0.000567219162,0.0179495364,0.612458885,0.6887633797,0.008436400636,0.01897666439,-0.7246887057,-0.287860841,0.062869072,0.065670304,0.535961807,-0.340970963,-0.0501492061,-0.265957743,-0.00933002308,0.0633594543,0.453341156,-0.23868002,0.0755757019,-0.0182443224,0,-0.174273238,-0.0158137158,0.200683907,-0.601154208,-0.474980325,-0.366770864,-0.0971434787,-0.239388883,1.00885904,-0.4236224,-0.0533472188
11,0.0005979031212,0.017905619,0.6124399898,0.6888177891,0.008411659999,0.01896647418,-0.7246375441,-0.2876913604,0.06287642866,0.06570316256,0.5359478116,-0.3410925272,-0.0503272258,-0.2659321664,-0.00935250316,0.06348339618,0.4535038236,-0.2394403724,0.07575379312,-0.01815357136,0,-0.1742739288,-0.01582871788,0.2008601218,-0.6011485812,-0.475002515,-0.3667792316,-0.09715812656,-0.2394827876,1.008877584,-0.4237034798,-0.05336158724
12,0.0006232455144,0.01787511408,0.6123733402,0.6889111375,0.008361149122,0.01890529139,-0.7245509822,-0.2875987528,0.06277320982,0.06556238084,0.5361076234,-0.341258764,-0.05016541186,-0.2657622276,-0.00947067812,0.06334633528,0.4535516742,-0.239888522,0.0760844186,-0.01799369678,0,-0.174275109,-0.01585368288,0.201154736,-0.6011426806,-0.4750394644,-0.3667942882,-0.09718238856,-0.2396410558,1.008911824,-0.4238389906,-0.05338284822
13,0.000624301354,0.01787266772,0.612397075,0.6889202015,0.008351825983,0.01888408334,-0.7245430245,-0.2877494216,0.06264962108,0.0653882459,0.5364257692,-0.3414227426,-0.0497261718,-0.26566273,-0.00957065821,0.06313190756,0.4535031022,-0.2394801078,0.07665975394,-0.01796895528,0,-0.1742754254,-0.01586018278,0.2012336436,-0.6011422752,-0.4750493112,-0.3667985622,-0.09718886318,-0.2396833952,1.008922054,-0.4238752542,-0.0533886038
